timestamp,capteur 0,capteur 1,capteur 2,capteur 3,capteur 4,capteur 5,capteur 6,capteur 7,capteur 8,capteur 9,capteur 10,capteur 11,capteur 12
2024-06-13 09:42:26,167.0,216.0,238.0,446.0,555.0,830.0,916.0,758.0,815.0,854.0,798.0,855.0,847.0
2024-06-13 09:42:27,180.0,220.0,242.0,445.0,555.0,832.0,889.0,752.0,812.0,856.0,795.0,851.0,840.0
2024-06-13 09:42:28,167.0,214.0,238.0,444.0,550.0,819.0,799.0,747.0,809.0,855.0,790.0,847.0,837.0
2024-06-13 09:42:29,144.0,212.0,233.0,444.0,550.0,840.0,900.0,746.0,806.0,850.0,782.0,847.0,835.0
2024-06-13 09:42:30,170.0,221.0,241.0,450.0,550.0,844.0,897.0,747.0,809.0,851.0,787.0,851.0,835.0
2024-06-13 09:42:31,147.0,216.0,237.0,448.0,551.0,841.0,910.0,742.0,806.0,851.0,776.0,850.0,838.0
2024-06-13 09:42:32,147.0,214.0,238.0,448.0,544.0,847.0,907.0,741.0,804.0,851.0,775.0,850.0,836.0
2024-06-13 09:42:33,165.0,219.0,243.0,451.0,549.0,847.0,898.0,748.0,805.0,852.0,775.0,850.0,834.0
2024-06-13 09:42:34,179.0,236.0,248.0,451.0,549.0,842.0,908.0,756.0,814.0,856.0,783.0,854.0,836.0
2024-06-13 09:42:35,169.0,226.0,247.0,455.0,547.0,849.0,859.0,753.0,814.0,857.0,780.0,852.0,838.0
2024-06-13 09:42:36,138.0,210.0,233.0,451.0,545.0,838.0,912.0,745.0,807.0,852.0,782.0,855.0,841.0
2024-06-13 09:42:37,140.0,223.0,243.0,455.0,540.0,833.0,922.0,750.0,811.0,856.0,773.0,855.0,840.0
2024-06-13 09:42:38,142.0,208.0,229.0,449.0,541.0,841.0,858.0,746.0,809.0,859.0,777.0,855.0,846.0
2024-06-13 09:42:39,142.0,206.0,226.0,445.0,540.0,825.0,880.0,740.0,806.0,859.0,775.0,852.0,841.0
2024-06-13 09:42:40,137.0,193.0,200.0,425.0,542.0,810.0,918.0,713.0,795.0,851.0,780.0,851.0,843.0
2024-06-13 09:42:41,137.0,196.0,202.0,435.0,539.0,819.0,924.0,723.0,800.0,851.0,788.0,851.0,849.0
2024-06-13 09:42:42,109.0,173.0,175.0,438.0,521.0,804.0,920.0,733.0,807.0,856.0,764.0,851.0,838.0
2024-06-13 09:42:43,109.0,183.0,175.0,436.0,523.0,788.0,875.0,727.0,805.0,858.0,764.0,852.0,846.0
2024-06-13 09:42:44,112.0,187.0,214.0,441.0,524.0,796.0,920.0,735.0,809.0,859.0,760.0,849.0,844.0
